Name,Standard,fy,fu,E,G,rho,Alpha
S235,NF EN 10025-2,235000000,360000000,210000000000,80770000000,7800,0.0000012
S275,NF EN 10025-2,275000000,420000000,210000000000,80770000000,7800,0.0000012
S355,NF EN 10025-2,355000000,460000000,210000000000,80770000000,7800,0.0000012
S450,NF EN 10025-2,455000000,550000000,210000000000,80770000000,7800,0.0000012
S275,NF EN 10025-3,275000000,390000000,210000000000,80770000000,7800,0.0000012
S355,NF EN 10025-3,355000000,490000000,210000000000,80770000000,7800,0.0000012
S420,NF EN 10025-3,420000000,520000000,210000000000,80770000000,7800,0.0000012
S460,NF EN 10025-3,460000000,540000000,210000000000,80770000000,7800,0.0000012
S275,NF EN 10025-4,275000000,370000000,210000000000,80770000000,7800,0.0000012
S355,NF EN 10025-4,355000000,470000000,210000000000,80770000000,7800,0.0000012
S420,NF EN 10025-4,420000000,520000000,210000000000,80770000000,7800,0.0000012
S460,NF EN 10025-4,460000000,540000000,210000000000,80770000000,7800,0.0000012
S235,NF EN 10025-5,235000000,360000000,210000000000,80770000000,7800,0.0000012
S355,NF EN 10025-5,355000000,490000000,210000000000,80770000000,7800,0.0000012
S460,NF EN 10025-6,460000000,570000000,210000000000,80770000000,7800,0.0000012
